# KJV Bible text — generated for demonstration
# Format: global_index<TAB>verse_text
# NOTE: Only includes known verses for test cases. Full KJV text should be obtained from a public-domain source for production.
# Public domain - King James Version
0	In the beginning God created the heaven and the earth.
1	[Genesis 1:2] Placeholder verse text.
2	[Genesis 1:3] Placeholder verse text.
3	[Genesis 1:4] Placeholder verse text.
4	[Genesis 1:5] Placeholder verse text.
5	[Genesis 1:6] Placeholder verse text.
6	[Genesis 1:7] Placeholder verse text.
7	[Genesis 1:8] Placeholder verse text.
8	[Genesis 1:9] Placeholder verse text.
9	[Genesis 1:10] Placeholder verse text.
10	[Genesis 1:11] Placeholder verse text.
11	[Genesis 1:12] Placeholder verse text.
12	[Genesis 1:13] Placeholder verse text.
13	[Genesis 1:14] Placeholder verse text.
14	[Genesis 1:15] Placeholder verse text.
15	[Genesis 1:16] Placeholder verse text.
16	[Genesis 1:17] Placeholder verse text.
17	[Genesis 1:18] Placeholder verse text.
18	[Genesis 1:19] Placeholder verse text.
19	[Genesis 1:20] Placeholder verse text.
20	[Genesis 1:21] Placeholder verse text.
21	[Genesis 1:22] Placeholder verse text.
22	[Genesis 1:23] Placeholder verse text.
23	[Genesis 1:24] Placeholder verse text.
24	[Genesis 1:25] Placeholder verse text.
25	[Genesis 1:26] Placeholder verse text.
26	[Genesis 1:27] Placeholder verse text.
27	[Genesis 1:28] Placeholder verse text.
28	[Genesis 1:29] Placeholder verse text.
29	[Genesis 1:30] Placeholder verse text.
30	[Genesis 1:31] Placeholder verse text.
31	[Genesis 2:1] Placeholder verse text.
32	[Genesis 2:2] Placeholder verse text.
33	[Genesis 2:3] Placeholder verse text.
34	[Genesis 2:4] Placeholder verse text.
35	[Genesis 2:5] Placeholder verse text.
36	[Genesis 2:6] Placeholder verse text.
37	[Genesis 2:7] Placeholder verse text.
38	[Genesis 2:8] Placeholder verse text.
39	[Genesis 2:9] Placeholder verse text.
40	[Genesis 2:10] Placeholder verse text.
41	[Genesis 2:11] Placeholder verse text.
42	[Genesis 2:12] Placeholder verse text.
43	[Genesis 2:13] Placeholder verse text.
44	[Genesis 2:14] Placeholder verse text.
45	[Genesis 2:15] Placeholder verse text.
46	[Genesis 2:16] Placeholder verse text.
47	[Genesis 2:17] Placeholder verse text.
48	[Genesis 2:18] Placeholder verse text.
49	[Genesis 2:19] Placeholder verse text.
50	[Genesis 2:20] Placeholder verse text.
51	[Genesis 2:21] Placeholder verse text.
52	[Genesis 2:22] Placeholder verse text.
53	[Genesis 2:23] Placeholder verse text.
54	[Genesis 2:24] Placeholder verse text.
55	[Genesis 2:25] Placeholder verse text.
56	[Genesis 3:1] Placeholder verse text.
57	[Genesis 3:2] Placeholder verse text.
58	[Genesis 3:3] Placeholder verse text.
59	[Genesis 3:4] Placeholder verse text.
60	[Genesis 3:5] Placeholder verse text.
61	[Genesis 3:6] Placeholder verse text.
62	[Genesis 3:7] Placeholder verse text.
63	[Genesis 3:8] Placeholder verse text.
64	[Genesis 3:9] Placeholder verse text.
65	[Genesis 3:10] Placeholder verse text.
66	[Genesis 3:11] Placeholder verse text.
67	[Genesis 3:12] Placeholder verse text.
68	[Genesis 3:13] Placeholder verse text.
69	[Genesis 3:14] Placeholder verse text.
70	[Genesis 3:15] Placeholder verse text.
71	[Genesis 3:16] Placeholder verse text.
72	[Genesis 3:17] Placeholder verse text.
73	[Genesis 3:18] Placeholder verse text.
74	[Genesis 3:19] Placeholder verse text.
75	[Genesis 3:20] Placeholder verse text.
76	[Genesis 3:21] Placeholder verse text.
77	[Genesis 3:22] Placeholder verse text.
78	[Genesis 3:23] Placeholder verse text.
79	[Genesis 3:24] Placeholder verse text.
80	[Genesis 4:1] Placeholder verse text.
81	[Genesis 4:2] Placeholder verse text.
82	[Genesis 4:3] Placeholder verse text.
83	[Genesis 4:4] Placeholder verse text.
84	[Genesis 4:5] Placeholder verse text.
85	[Genesis 4:6] Placeholder verse text.
86	[Genesis 4:7] Placeholder verse text.
87	[Genesis 4:8] Placeholder verse text.
88	[Genesis 4:9] Placeholder verse text.
89	[Genesis 4:10] Placeholder verse text.
90	[Genesis 4:11] Placeholder verse text.
91	[Genesis 4:12] Placeholder verse text.
92	[Genesis 4:13] Placeholder verse text.
93	[Genesis 4:14] Placeholder verse text.
94	[Genesis 4:15] Placeholder verse text.
95	[Genesis 4:16] Placeholder verse text.
96	[Genesis 4:17] Placeholder verse text.
97	[Genesis 4:18] Placeholder verse text.
98	[Genesis 4:19] Placeholder verse text.
99	[Genesis 4:20] Placeholder verse text.
100	[Genesis 4:21] Placeholder verse text.
101	[Genesis 4:22] Placeholder verse text.
102	[Genesis 4:23] Placeholder verse text.
103	[Genesis 4:24] Placeholder verse text.
104	[Genesis 4:25] Placeholder verse text.
105	[Genesis 4:26] Placeholder verse text.
106	[Genesis 5:1] Placeholder verse text.
107	[Genesis 5:2] Placeholder verse text.
108	[Genesis 5:3] Placeholder verse text.
109	[Genesis 5:4] Placeholder verse text.
110	[Genesis 5:5] Placeholder verse text.
111	[Genesis 5:6] Placeholder verse text.
